card_number, pokemon, min_price, max_price, type, is_legendary, is_holofoil,generation_released,has_evolution_line
1,Charizard,1,5,Fire,false,false,1,TRUE
2,Pikachu,2,8.5,Lightning,false,true,1,TRUE
3,Miraidon,0.2,3,Lightning,true,true,9,FALSE
4,Jigglypuff,0.2,0.39,Psychic,false,false,1,TRUE
5,Hatenna,0.1,0.2,Psychic,false,false,8,TRUE
6,Dragapult,0.1,1,Psychic,false,false,8,TRUE
7,Quagsire,0.1,0.2,Fighting,false,false,2,TRUE
8,Koraidon,0.85,4,Fighting,true,true,9,FALSE
9,Umbreon,0.8,0.8,Dark,false,false,2,TRUE
10,Hydreigon,0.6,0.95,Dark,false,true,5,TRUE
11,Roaring Moon,1,6,Dark,false,true,9,FALSE
12,Dragonite,2,5.5,Dragon,false,true,1,TRUE
13,Eevee,0.2,0.8,Colorless,false,false,1,TRUE
14,Rayquaza,0.2,0.99,Colorless,true,false,3,FALSE
15,Drampa,1,3, Colorless,false,true,7,FALSE
